"Time","x"
1.044579915E3,1.003836670E3
1.045580499E3,1.003838196E3
1.046581070E3,1.003838577E3
1.047581650E3,1.003838196E3
1.048582223E3,1.003835220E3
1.049582809E3,1.003833160E3
1.050583375E3,1.003831177E3
1.051583955E3,1.003826599E3
1.052584534E3,1.003824234E3
1.053585106E3,1.003824234E3
1.054585685E3,1.003825150E3
1.055586264E3,1.003825836E3
1.056586835E3,1.003826447E3
1.057587409E3,1.003826447E3
1.058587986E3,1.003826447E3
1.059588564E3,1.003824921E3
1.060589136E3,1.003817596E3
1.061589714E3,1.003817596E3
1.062590294E3,1.003818359E3
1.063590872E3,1.003818359E3
1.064591441E3,1.003820724E3
1.065592024E3,1.003823090E3
1.066592601E3,1.003823090E3
1.067593180E3,1.003817749E3
1.068593749E3,1.003806534E3
1.069594325E3,1.003800125E3
1.070594908E3,1.003797684E3
1.071595480E3,1.003791885E3
1.072596058E3,1.003788681E3
1.073596630E3,1.003783569E3
1.074597206E3,1.003784561E3
1.075597783E3,1.003784561E3
1.076598363E3,1.003786621E3
1.077598939E3,1.003786774E3
1.078599516E3,1.003786774E3
1.079600092E3,1.003779984E3
1.080600669E3,1.003775558E3
1.081601247E3,1.003771744E3
1.082601819E3,1.003771744E3
1.083602394E3,1.003771973E3
1.084602974E3,1.003782883E3
1.085603552E3,1.003794556E3
1.086604125E3,1.003804016E3
1.087604698E3,1.003811035E3
1.088605277E3,1.003819122E3
1.089606152E3,1.003822327E3
1.090606429E3,1.003823090E3
1.091607008E3,1.003823090E3
1.092607586E3,1.003822327E3
1.093608158E3,1.003818130E3
1.094608735E3,1.003815994E3
1.095609313E3,1.003813324E3
1.096609953E3,1.003810501E3
1.097610465E3,1.003810043E3
1.098611044E3,1.003810043E3
1.099611617E3,1.003806534E3
1.100612193E3,1.003804092E3
1.101612772E3,1.003802109E3
1.102613345E3,1.003796921E3
1.103613923E3,1.003794250E3
1.104614498E3,1.003793182E3
1.105615076E3,1.003793182E3
1.106615656E3,1.003798676E3
1.107616234E3,1.003805008E3
1.108616811E3,1.003810883E3
1.109617384E3,1.003820038E3
1.110617954E3,1.003825455E3
1.111618536E3,1.003828964E3
1.112619107E3,1.003830414E3
1.113619689E3,1.003832779E3
1.114620267E3,1.003832779E3
1.115620849E3,1.003824310E3
1.116621418E3,1.003824310E3
1.117621992E3,1.003824387E3
1.118622571E3,1.003824615E3
1.119623149E3,1.003824615E3
1.120623726E3,1.003835068E3
1.121624302E3,1.003837814E3
1.122624876E3,1.003839035E3
1.123625455E3,1.003838806E3
1.124626033E3,1.003838806E3
1.125626607E3,1.003837738E3
1.126627185E3,1.003836899E3
1.127627764E3,1.003836670E3
1.128628550E3,1.003836670E3
1.129628915E3,1.003832169E3
1.130629485E3,1.003829117E3
1.131630067E3,1.003826904E3
1.132630645E3,1.003822708E3
1.133631220E3,1.003822708E3
1.134631799E3,1.003823700E3
1.135632373E3,1.003827133E3
1.136632951E3,1.003832932E3
1.137633522E3,1.003835449E3
1.138634101E3,1.003835449E3
1.139634676E3,1.003832932E3
1.140635255E3,1.003824997E3
1.141635828E3,1.003816681E3
1.142636403E3,1.003813095E3
1.143636980E3,1.003809204E3
1.144637560E3,1.003806076E3
1.145638136E3,1.003805161E3
1.146638709E3,1.003804932E3
1.147639281E3,1.003802948E3
1.148639866E3,1.003802872E3
1.149640440E3,1.003802643E3
1.150641014E3,1.003802032E3
1.151641590E3,1.003799896E3
1.152642167E3,1.003797760E3
1.153642742E3,1.003796921E3
1.154643324E3,1.003794937E3
1.155643893E3,1.003794403E3
1.156644472E3,1.003793182E3
1.157645046E3,1.003790512E3
1.158645624E3,1.003786926E3
1.159646200E3,1.003783035E3
1.160646778E3,1.003780823E3
1.161647355E3,1.003780823E3
1.162647932E3,1.003780975E3
1.163648506E3,1.003784103E3
1.164649085E3,1.003785019E3
1.165649667E3,1.003786240E3
1.166650236E3,1.003785019E3
1.167650814E3,1.003783875E3
1.168651391E3,1.003783112E3
1.169651965E3,1.003781281E3
1.170652543E3,1.003781281E3
1.171653117E3,1.003784103E3
1.172653698E3,1.003785248E3
1.173654270E3,1.003788986E3
1.174654847E3,1.003790512E3
1.175655429E3,1.003790512E3
1.176655999E3,1.003790283E3
1.177656579E3,1.003789444E3
1.178657153E3,1.003788376E3
1.179657736E3,1.003788376E3
1.180658311E3,1.003789444E3
1.181658880E3,1.003789749E3
1.182659459E3,1.003789749E3
1.183660038E3,1.003787766E3
1.184660744E3,1.003782578E3
1.185661188E3,1.003779068E3
1.186661765E3,1.003775711E3
1.187662342E3,1.003771667E3
1.188662920E3,1.003768616E3
1.189663494E3,1.003765106E3
1.190664068E3,1.003763885E3
1.191664656E3,1.003763275E3
1.192665223E3,1.003762970E3
1.193665796E3,1.003756485E3
1.194666378E3,1.003753128E3
1.195667249E3,1.003746796E3
1.196667533E3,1.003743057E3
1.197668104E3,1.003739014E3
1.198668688E3,1.003738861E3
1.199669264E3,1.003739014E3
1.200669833E3,1.003738861E3
1.201670411E3,1.003738708E3
1.202670989E3,1.003729706E3
1.203671565E3,1.003725357E3
1.204672148E3,1.003725052E3
1.205672721E3,1.003725052E3
1.206673297E3,1.003729477E3
1.207673874E3,1.003743134E3
1.208674449E3,1.003751678E3
1.209675018E3,1.003756866E3
1.210675599E3,1.003759842E3
1.211676176E3,1.003768997E3
1.212676754E3,1.003774338E3
1.213677451E3,1.003777008E3
1.214677904E3,1.003781738E3
1.215678486E3,1.003781738E3
1.216679057E3,1.003776932E3
1.217679631E3,1.003776932E3
1.218680211E3,1.003776932E3
1.219680790E3,1.003777161E3
1.220681367E3,1.003781281E3
1.221681944E3,1.003781281E3
1.222682551E3,1.003779831E3
1.223683090E3,1.003777542E3
1.224683669E3,1.003777542E3
1.225684247E3,1.003777542E3
1.226684822E3,1.003777771E3
1.227685399E3,1.003777771E3
1.228685979E3,1.003780518E3
1.229686551E3,1.003781433E3
1.230687123E3,1.003782425E3
1.231687700E3,1.003782883E3
1.232688280E3,1.003782883E3
1.233688860E3,1.003780136E3
1.234689432E3,1.003776398E3
1.235690012E3,1.003772278E3
1.236690587E3,1.003768158E3
1.237691159E3,1.003760681E3
1.238691736E3,1.003754501E3
1.239692316E3,1.003754501E3
1.240692886E3,1.003755646E3
1.241693468E3,1.003757172E3
1.242694275E3,1.003762436E3
1.243694620E3,1.003770142E3
1.244695194E3,1.003770828E3
1.245695776E3,1.003771591E3
1.246696347E3,1.003774567E3
1.247696924E3,1.003777924E3
1.248697505E3,1.003782120E3
1.249698081E3,1.003786469E3
1.250698652E3,1.003796539E3
1.251699233E3,1.003807068E3
1.252699808E3,1.003818436E3
1.253700382E3,1.003830490E3
1.254700959E3,1.003842621E3
1.255701537E3,1.003850937E3
1.256702111E3,1.003853836E3
1.257702689E3,1.003855438E3
1.258703261E3,1.003855972E3
1.259703841E3,1.003855972E3
1.260704414E3,1.003855667E3
1.261704989E3,1.003855667E3
1.262706001E3,1.003856812E3
1.263706144E3,1.003858337E3
1.264706720E3,1.003858337E3
1.265707302E3,1.003857498E3
1.266707877E3,1.003854980E3
1.267708452E3,1.003854904E3
1.268709028E3,1.003852921E3
1.269709601E3,1.003852005E3
1.271845896E3,1.003838196E3
1.272846475E3,1.003835297E3
1.273847051E3,1.003832626E3
1.274847627E3,1.003832397E3
1.275848609E3,1.003830490E3
1.276848783E3,1.003830490E3
1.277399733E3,1.003830490E3
1.278400305E3,1.003830643E3
1.279401094E3,1.003833313E3
1.280401455E3,1.003837814E3
1.281402037E3,1.003839111E3
1.282402610E3,1.003839874E3
1.283403187E3,1.003840942E3
1.284403760E3,1.003840942E3
1.285404340E3,1.003840637E3
1.286404920E3,1.003840637E3
1.287405494E3,1.003843842E3
1.288406454E3,1.003845596E3
1.289406649E3,1.003848190E3
1.290407225E3,1.003849182E3
1.291407804E3,1.003849182E3
1.292408380E3,1.003849182E3
1.293408959E3,1.003848572E3
1.294409531E3,1.003849335E3
1.295410110E3,1.003849335E3
1.296410681E3,1.003857193E3
1.297411491E3,1.003862839E3
1.298411837E3,1.003868103E3
1.299412415E3,1.003877106E3
1.300412990E3,1.003884964E3
1.301413568E3,1.003887863E3
1.302414143E3,1.003888397E3
1.303414722E3,1.003891907E3
1.304415299E3,1.003893127E3
1.305415874E3,1.003899612E3
1.306416449E3,1.003910217E3
1.307417028E3,1.003929901E3
1.308417603E3,1.003943405E3
1.309418179E3,1.003956528E3
1.310418762E3,1.003961716E3
1.311419331E3,1.003961716E3
1.312419911E3,1.003942947E3
1.313420487E3,1.003936234E3
1.314421061E3,1.003927307E3
1.315421989E3,1.003917770E3
1.316422216E3,1.003914948E3
1.317422791E3,1.003914337E3
1.318423368E3,1.003914337E3
1.319423944E3,1.003910370E3
1.320424517E3,1.003910370E3
1.321425098E3,1.003914795E3
1.322425676E3,1.003919525E3
1.323426253E3,1.003920059E3
1.324426831E3,1.003922195E3
1.325427402E3,1.003922195E3
1.326427977E3,1.003917542E3
1.327428559E3,1.003908005E3
1.328429132E3,1.003898926E3
1.329429711E3,1.003896027E3
1.330430290E3,1.003892746E3
1.331430856E3,1.003892746E3
1.332431439E3,1.003894730E3
1.333432016E3,1.003894730E3
1.334432593E3,1.003891449E3
1.335433592E3,1.003891449E3
1.336433746E3,1.003891525E3
1.337434321E3,1.003891525E3
1.338434896E3,1.003889847E3
1.339435468E3,1.003888168E3
1.340436044E3,1.003883667E3
1.341436625E3,1.003875122E3
1.342437197E3,1.003866806E3
1.343437779E3,1.003858871E3
1.344438355E3,1.003853226E3
1.345438932E3,1.003848572E3
1.346439507E3,1.003844528E3
1.347440085E3,1.003840256E3
1.348440655E3,1.003839645E3
1.349441236E3,1.003839645E3
1.350441812E3,1.003840332E3
1.351442386E3,1.003840714E3
1.352442961E3,1.003842163E3
1.353443541E3,1.003842621E3
1.354444117E3,1.003845901E3
1.355444693E3,1.003848495E3
1.356445267E3,1.003854523E3
1.357445844E3,1.003860855E3
1.358446421E3,1.003868561E3
1.359446999E3,1.003873825E3
1.360447578E3,1.003878479E3
1.361448150E3,1.003884430E3
1.362449046E3,1.003888016E3
1.363449301E3,1.003890381E3
1.364449880E3,1.003891373E3
1.365450456E3,1.003892441E3
1.366451030E3,1.003892593E3
1.367451615E3,1.003896561E3
1.368452184E3,1.003900757E3
1.369452761E3,1.003901596E3
1.370453343E3,1.003901672E3
1.371453920E3,1.003901672E3
1.372454491E3,1.003899536E3
1.373455214E3,1.003898163E3
1.374455641E3,1.003897552E3
1.375456219E3,1.003897171E3
1.376456793E3,1.003894196E3
1.377457373E3,1.003893356E3
1.378457947E3,1.003892059E3
1.379458527E3,1.003889084E3
1.380459103E3,1.003886337E3
1.381459680E3,1.003881073E3
1.382460252E3,1.003877106E3
1.383460831E3,1.003873291E3
1.384461753E3,1.003869934E3
1.385461990E3,1.003869476E3
1.386462557E3,1.003869476E3
1.387463134E3,1.003871613E3
1.388463714E3,1.003871613E3
1.389464285E3,1.003871613E3
1.390464864E3,1.003871078E3
1.391465441E3,1.003871078E3
1.392466023E3,1.003871155E3
1.393466594E3,1.003873215E3
1.394467174E3,1.003878632E3
1.395467745E3,1.003883972E3
1.396468322E3,1.003886948E3
1.397468904E3,1.003888397E3
1.398469480E3,1.003890610E3
1.399470055E3,1.003890610E3
1.400470631E3,1.003890152E3
1.401471204E3,1.003888855E3
1.402471781E3,1.003884354E3
1.403472361E3,1.003880234E3
1.404472937E3,1.003878250E3
1.405473512E3,1.003878250E3
1.406474091E3,1.003879700E3
1.407474665E3,1.003882446E3
1.408475245E3,1.003883972E3
1.409475818E3,1.003887711E3
1.410476396E3,1.003889694E3
1.411476968E3,1.003889694E3
1.412477547E3,1.003889313E3
1.413478125E3,1.003888550E3
1.414478703E3,1.003887100E3
1.415479276E3,1.003884277E3
1.416479850E3,1.003884277E3
1.417480432E3,1.003884430E3
1.418481010E3,1.003885956E3
1.419481587E3,1.003887405E3
1.420482163E3,1.003889847E3
1.421483175E3,1.003891220E3
1.422483317E3,1.003891525E3
