"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.364238367E1,8.216470890E-3,-1.253021769E-3,-2.825783908E-2
8.389207367E1,-7.460407633E-4,-3.622898273E-3,-2.465186119E-2
8.414176467E1,-1.023509419E-3,1.993535087E-3,-3.558556974E-2
8.439145467E1,6.598336184E-3,8.280954715E-3,-3.825306952E-2
8.464114542E1,1.402596286E-3,1.796191558E-3,-2.689192951E-2
8.489083642E1,-1.381952874E-3,3.834567480E-3,-3.167378247E-2
8.514052642E1,-6.016574772E-3,2.371612396E-3,-3.795193791E-2
8.539021642E1,2.469653757E-3,-9.613187984E-4,-3.900794506E-2
8.563990654E1,2.193226637E-3,-1.017177980E-2,-3.300402403E-2
8.588959654E1,-9.448817270E-3,-1.982425377E-3,-2.582130432E-2
8.613928654E1,-2.234211965E-3,1.365123857E-3,-1.162894249E-2
8.638897754E1,2.501055133E-4,3.391914982E-3,-3.470147073E-2
8.663866813E1,-1.938370261E-3,7.008984312E-4,-2.753044546E-2
8.688835812E1,-6.092862664E-3,-6.167368982E-3,-3.201584458E-2
8.713804912E1,-2.801008159E-3,4.447319135E-3,-4.083753884E-2
8.738773912E1,6.412248546E-4,1.651655696E-3,-3.109315395E-2
8.763743017E1,-4.092027694E-3,4.319027569E-3,-2.705214322E-2
8.788712017E1,5.963703152E-4,-1.968245879E-3,-1.702124476E-2
8.813681017E1,-2.561464179E-3,-5.107177421E-3,-2.481382906E-2
8.838650117E1,-2.889301116E-3,-7.159513570E-3,-1.734401107E-2
8.863619029E1,4.200269706E-3,2.278422397E-3,-2.960854590E-2
8.888588129E1,-5.675490238E-3,1.014912184E-3,-2.721703470E-2
8.913557129E1,-5.036448953E-3,-1.058311315E-2,-3.707953334E-2
8.938526229E1,-3.032927918E-3,-8.365721069E-3,-2.493895948E-2
8.963495275E1,-5.694123670E-3,-2.284783071E-2,-4.349392891E-2
8.988464275E1,3.167080404E-3,9.632428978E-3,-3.482367754E-2
9.013433375E1,4.521587910E-3,1.158126941E-2,-3.242924273E-2
9.038402375E1,3.069240041E-3,-8.480655402E-4,-2.625809133E-2
9.063371525E1,4.092987003E-3,-3.774596974E-3,-2.687965035E-2
9.088340525E1,-7.519610692E-3,-1.339852922E-3,-2.660073817E-2
9.113309625E1,7.223266494E-3,2.776641715E-3,-3.005059540E-2
9.138278625E1,-1.181320287E-5,-6.353895161E-3,-2.838706255E-2
9.163247717E1,1.001347558E-2,6.909673009E-3,-3.332562089E-2
9.188216717E1,1.945039742E-3,-8.687573746E-3,-1.672654510E-2
9.213185817E1,-1.166752498E-2,1.057394033E-2,-1.435257554E-2
9.238154817E1,1.056856820E-3,6.477216594E-3,-2.168030620E-2
9.263123954E1,9.752516169E-4,-3.487717956E-3,-3.423544765E-2
9.288092954E1,1.135355690E-3,-6.441987120E-4,-3.048095047E-2
