"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.992181850E1,-1.697505824E-3,-3.344379365E-5,-9.539038874E-4
6.017150850E1,-3.958400339E-4,9.192023426E-4,-2.256331034E-3
6.042119850E1,-3.476971760E-4,4.699937999E-4,7.534285542E-4
6.067088892E1,-5.728220567E-4,2.758622169E-3,-8.685751818E-4
6.092057892E1,1.279876335E-3,-1.160721295E-3,-1.731091761E-3
6.117026892E1,1.278830692E-3,1.350212842E-4,8.594426326E-4
6.141995892E1,-1.654304564E-3,9.135245346E-4,4.975683987E-5
6.166964838E1,1.863659127E-3,-9.001782164E-4,3.179705236E-4
6.191933837E1,2.705391729E-3,-2.780039795E-4,-2.838880755E-4
6.216902837E1,-5.525178276E-4,-1.267785206E-3,4.729614593E-4
6.241871838E1,-1.168217510E-3,-1.368574798E-3,-8.332240395E-5
6.266840925E1,2.364585875E-3,1.163920388E-5,1.351880375E-3
6.291809925E1,9.067733772E-4,3.230585251E-3,-9.801904671E-4
6.316778925E1,-6.335130893E-4,1.215989701E-3,6.771190092E-4
6.341747925E1,1.549160341E-3,1.163839363E-3,-2.136831172E-4
6.366716925E1,-2.988022752E-4,-3.070153762E-3,1.447180286E-3
6.391685925E1,1.638009679E-3,-5.483292043E-4,1.637430629E-3
6.416654925E1,-1.265272032E-3,1.576961018E-3,-7.101190276E-4
6.441623925E1,1.144048525E-3,3.387439065E-4,-1.473265351E-3
6.466592850E1,-4.552849568E-4,-1.979458146E-3,1.412303420E-3
6.491561850E1,-2.043415327E-3,-1.353930682E-3,-4.437970929E-4
6.516530850E1,1.295866910E-3,-5.081850104E-4,-1.121708658E-3
6.541499850E1,-1.320217270E-3,-1.431225333E-3,-1.161401160E-3
6.566468900E1,-2.089632675E-3,5.282568745E-4,1.077870373E-3
6.591437900E1,2.955123782E-4,-7.218327373E-4,-2.476931550E-4
6.616406900E1,1.905242214E-3,-9.362064302E-4,-7.739854045E-4
6.641376000E1,1.986779505E-3,-9.265560657E-4,5.730951671E-4
6.666345013E1,3.418046981E-5,-1.784783322E-3,-2.986728214E-5
6.691314012E1,-6.366255693E-4,1.004503109E-3,3.033124376E-4
6.716283012E1,4.533114843E-4,8.056638762E-4,-1.282468205E-3
6.741252012E1,3.734575585E-4,1.768292394E-3,-1.424049726E-3
6.766221000E1,1.734438818E-3,3.862632439E-4,-2.750158310E-4
6.791190000E1,-6.175842136E-4,2.763578668E-4,3.409585916E-3
6.816159000E1,3.164154477E-4,1.480520237E-3,-3.894390538E-4
6.841128000E1,-1.104800496E-3,-6.923638284E-5,2.068089554E-3
