"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.088648804E2,3.996688843E-2,2.148033142E-1,9.780062256E0
1.091145714E2,4.355941772E-2,2.219883728E-1,9.787097626E0
1.093642624E2,4.490661621E-2,2.200424194E-1,9.778116302E0
1.096139540E2,4.326004028E-2,2.161505127E-1,9.779912567E0
1.098636450E2,4.685256958E-2,2.058219910E-1,9.767787781E0
1.101133360E2,4.370910645E-2,2.100132751E-1,9.774074707E0
1.103630270E2,4.311035156E-2,2.155517578E-1,9.778565369E0
1.106127175E2,4.385879517E-2,2.007325745E-1,9.792636108E0
1.108624085E2,3.397933960E-2,2.171983337E-1,9.774823151E0
1.111120995E2,4.385879517E-2,2.082170105E-1,9.772877197E0
1.113617905E2,4.071533203E-2,2.059716797E-1,9.769584045E0
1.116114811E2,4.131408691E-2,2.128573608E-1,9.784552917E0
1.118611721E2,3.951782227E-2,1.920506287E-1,9.783654785E0
1.121108631E2,4.326004028E-2,2.146536255E-1,9.788295135E0
1.123605541E2,4.281097412E-2,2.118095398E-1,9.790989532E0
1.126102454E2,3.981719971E-2,2.177970886E-1,9.783804474E0
1.128599364E2,3.637435913E-2,2.119592285E-1,9.784403229E0
1.131096274E2,4.056564331E-2,2.140548706E-1,9.793085175E0
1.133593184E2,4.550537109E-2,2.134561157E-1,9.778715057E0
1.136090087E2,4.790039063E-2,2.171983337E-1,9.782157898E0
1.138586988E2,3.891906738E-2,2.112107849E-1,9.779912567E0
1.141083898E2,3.876937866E-2,2.100132751E-1,9.775421906E0
1.143580807E2,4.191284180E-2,2.101629639E-1,9.771529999E0
1.146077721E2,4.415817261E-2,2.145039368E-1,9.775421906E0
1.148574631E2,4.071533203E-2,2.225871277E-1,9.782008209E0
1.151071541E2,3.502716064E-2,2.142045593E-1,9.784103851E0
1.153568451E2,4.475692749E-2,2.113604736E-1,9.780062256E0
1.156065354E2,3.981719971E-2,2.092648315E-1,9.782457275E0
1.158562264E2,4.146377563E-2,2.137554932E-1,9.776320038E0
1.161059174E2,4.370910645E-2,2.131567383E-1,9.776769104E0
1.163556084E2,4.490661621E-2,2.119592285E-1,9.785001984E0
1.166052996E2,4.415817261E-2,2.122586060E-1,9.773625641E0
1.168549906E2,4.311035156E-2,2.092648315E-1,9.769733734E0
1.171046816E2,4.041595459E-2,2.170486450E-1,9.781858521E0
1.173543726E2,3.936813354E-2,2.149530029E-1,9.782457275E0
1.176040642E2,4.071533203E-2,2.068698120E-1,9.793833618E0
1.178537552E2,4.161346436E-2,2.154020691E-1,9.782457275E0
1.181034462E2,3.053649902E-2,2.140548706E-1,9.777367859E0
1.183531372E2,4.819976807E-2,2.131567383E-1,9.775122528E0
1.186028274E2,3.802093506E-2,2.182461548E-1,9.786199493E0
1.188525184E2,3.951782227E-2,2.118095398E-1,9.775571594E0
1.191022104E2,3.712280273E-2,2.216889954E-1,9.789193268E0
1.193519014E2,4.161346436E-2,2.088157654E-1,9.784552917E0
1.196015930E2,3.667373657E-2,2.076182556E-1,9.776170349E0
1.198512840E2,3.622467041E-2,2.154020691E-1,9.786498871E0
1.201009750E2,3.921844482E-2,2.076182556E-1,9.780511322E0
1.203506660E2,4.011657715E-2,2.113604736E-1,9.778116302E0
1.206003606E2,4.071533203E-2,2.158511353E-1,9.770182800E0
1.208500516E2,3.667373657E-2,2.071691895E-1,9.781559143E0
1.210997426E2,4.266128540E-2,2.104623413E-1,9.778565369E0
1.213494336E2,3.308120728E-2,2.137554932E-1,9.782008209E0
1.215991210E2,3.353027344E-2,2.149530029E-1,9.775870972E0
1.218488120E2,4.625381470E-2,2.124082947E-1,9.783804474E0
1.220985030E2,3.861968994E-2,2.201921082E-1,9.783205719E0
1.223481950E2,3.847000122E-2,2.088157654E-1,9.788295135E0
1.225978868E2,4.296066284E-2,2.148033142E-1,9.786049805E0
1.228475777E2,3.712280273E-2,2.074685669E-1,9.777367859E0
1.230972687E2,3.592529297E-2,2.049238586E-1,9.777667236E0
1.233469597E2,4.176315308E-2,2.121089172E-1,9.768685913E0
1.235966495E2,4.670288086E-2,2.101629639E-1,9.773176575E0
1.238463405E2,4.400848389E-2,2.163002014E-1,9.776020660E0
1.240960315E2,3.847000122E-2,2.112107849E-1,9.777966614E0
1.243457235E2,3.921844482E-2,2.118095398E-1,9.775571594E0
1.245954150E2,3.772155762E-2,2.191442871E-1,9.775571594E0
1.248451060E2,4.520599365E-2,2.212399292E-1,9.782008209E0
1.250947970E2,4.400848389E-2,2.182461548E-1,9.776469727E0
1.253444880E2,3.727249146E-2,2.070195007E-1,9.772727509E0
1.255941794E2,4.580474854E-2,2.194436646E-1,9.783355408E0
1.258438714E2,4.535568237E-2,2.131567383E-1,9.791737976E0
1.260935624E2,4.191284180E-2,2.061213684E-1,9.777966614E0
1.263432534E2,3.367996216E-2,2.145039368E-1,9.775272217E0
1.265929438E2,4.236190796E-2,2.145039368E-1,9.768236847E0
1.268426348E2,4.445755005E-2,2.131567383E-1,9.765093384E0
1.270923258E2,4.475692749E-2,2.176473999E-1,9.782008209E0
1.273420178E2,3.427871704E-2,2.131567383E-1,9.781110077E0
1.275917096E2,4.161346436E-2,2.218386841E-1,9.775272217E0
1.278414006E2,3.323089600E-2,2.119592285E-1,9.777218170E0
1.280910916E2,4.056564331E-2,2.122586060E-1,9.780211945E0
1.283407826E2,3.367996216E-2,2.113604736E-1,9.771829376E0
1.285904738E2,4.131408691E-2,2.125579834E-1,9.779762878E0
1.288401648E2,3.502716064E-2,2.106120300E-1,9.781858521E0
1.290898558E2,4.445755005E-2,2.134561157E-1,9.778864746E0
1.293395468E2,4.400848389E-2,2.082170105E-1,9.785301361E0
1.295892377E2,4.445755005E-2,2.137554932E-1,9.778415680E0
1.298389298E2,3.936813354E-2,2.062710571E-1,9.780511322E0
1.300886208E2,3.502716064E-2,2.221380615E-1,9.789193268E0
1.303383117E2,4.026626587E-2,2.195933533E-1,9.778415680E0
1.305880029E2,4.056564331E-2,2.151026917E-1,9.775870972E0
1.308376949E2,3.547622681E-2,2.083666992E-1,9.777816925E0
1.310873859E2,3.652404785E-2,2.094145203E-1,9.783205719E0
1.313370769E2,4.834945679E-2,2.149530029E-1,9.770631866E0
1.315867680E2,4.415817261E-2,2.171983337E-1,9.779613190E0
1.318364600E2,4.894821167E-2,2.029779053E-1,9.787397003E0
1.320861510E2,3.832031250E-2,2.130070496E-1,9.788594513E0
1.323358420E2,4.445755005E-2,2.115101624E-1,9.785001984E0
1.325855330E2,4.251159668E-2,2.133064270E-1,9.780361633E0
1.328352250E2,3.847000122E-2,2.167492676E-1,9.774823151E0
1.330849160E2,4.849914551E-2,2.095642090E-1,9.780211945E0
1.333346070E2,4.385879517E-2,2.124082947E-1,9.790390778E0
1.335843019E2,2.544708252E-2,1.842668152E-1,9.781858521E0
1.338339939E2,3.876937866E-2,1.823208618E-1,9.761351166E0
1.340836849E2,4.490661621E-2,2.222877502E-1,9.786648560E0
1.343333759E2,3.832031250E-2,2.200424194E-1,9.776769104E0
1.345830640E2,3.727249146E-2,2.140548706E-1,9.779463501E0
1.348327550E2,3.547622681E-2,2.077679443E-1,9.773176575E0
1.350824460E2,3.697311401E-2,2.091151428E-1,9.782307587E0
1.353321370E2,3.847000122E-2,2.142045593E-1,9.783505096E0
1.355818292E2,3.053649902E-2,2.100132751E-1,9.776918793E0
1.358315202E2,4.221221924E-2,2.158511353E-1,9.777816925E0
1.360812112E2,3.981719971E-2,1.993853760E-1,9.771230621E0
1.363309032E2,3.996688843E-2,2.055226135E-1,9.786798248E0
1.365805943E2,3.652404785E-2,2.140548706E-1,9.778715057E0
1.368302852E2,4.505630493E-2,2.137554932E-1,9.774523773E0
1.370799772E2,4.101470947E-2,1.987866211E-1,9.772727509E0
1.373296682E2,4.041595459E-2,2.165995789E-1,9.776769104E0
1.375793627E2,3.367996216E-2,2.183958435E-1,9.784552917E0
1.378290548E2,3.502716064E-2,2.160008240E-1,9.782906342E0
1.380787458E2,4.730163574E-2,2.110610962E-1,9.776170349E0
