Time;latitude;longitude;height;velocity;direction;horizontalAccuracy;verticalAccuracy
2.188973640E3;5.231860809E1;4.873373369E0;3.089256287E-1;3.799999952E-1;3.297656250E2;1.000000000E1;1.000000000E1
2.189973647E3;5.231861131E1;4.873366663E0;5.348777771E-1;4.000000060E-1;2.812500000E2;1.000000000E1;1.000000000E1
2.190973653E3;5.231861433E1;4.873359874E0;6.369895935E-1;4.000000060E-1;3.076171875E2;1.000000000E1;1.000000000E1
2.191973659E3;5.231861186E1;4.873350738E0;6.042747498E-1;4.499999881E-1;2.489062500E2;1.000000000E1;1.000000000E1
2.192973664E3;5.231860905E1;4.873344367E0;7.720603943E-1;3.300000131E-1;2.615625000E2;1.000000000E1;1.000000000E1
2.193973667E3;5.231860943E1;4.873338416E0;1.099697113E0;5.899999738E-1;2.692968750E2;1.000000000E1;1.000000000E1
2.194973671E3;5.231860809E1;4.873335147E0;1.192226410E0;3.700000048E-1;3.392578125E2;1.000000000E1;1.000000000E1
2.195973673E3;5.231860951E1;4.873332381E0;1.125514984E0;3.899999857E-1;3.118359375E2;1.000000000E1;1.000000000E1
2.196973675E3;5.231860762E1;4.873333387E0;9.323997498E-1;3.000000119E-1;6.679687500E1;1.000000000E1;1.000000000E1
2.197973676E3;5.231860762E1;4.873333387E0;7.079124451E-1;0.000000000E0;2.763281250E2;1.000000000E1;1.000000000E1
2.198973676E3;5.231859518E1;4.873331878E0;5.149192810E-1;2.199999988E-1;1.473046875E2;1.000000000E1;1.000000000E1
2.199973676E3;5.231858240E1;4.873332046E0;2.934226990E-1;2.199999988E-1;1.743750000E2;1.000000000E1;1.000000000E1
2.200973675E3;5.231857016E1;4.873326179E0;2.928123474E-1;4.099999964E-1;2.017968750E2;1.000000000E1;1.000000000E1
2.201973674E3;5.231855679E1;4.873315617E0;2.221336365E-1;4.300000072E-1;1.947656250E2;1.000000000E1;1.000000000E1
2.202973673E3;5.231855679E1;4.873315617E0;1.954612732E-1;0.000000000E0;1.947656250E2;1.000000000E1;1.000000000E1
2.203973671E3;5.231855679E1;4.873315617E0;2.315330505E-1;0.000000000E0;1.712109375E2;1.000000000E1;1.000000000E1
2.204973668E3;5.231855679E1;4.873315617E0;3.987083435E-1;0.000000000E0;4.886718750E1;1.000000000E1;1.000000000E1
2.205973666E3;5.231855679E1;4.873315617E0;4.444236755E-1;0.000000000E0;1.399218750E2;1.000000000E1;1.000000000E1
2.206973663E3;5.231855679E1;4.873315617E0;4.145164490E-1;0.000000000E0;1.399218750E2;1.000000000E1;1.000000000E1
2.207973659E3;5.231855679E1;4.873315617E0;4.262351990E-1;0.000000000E0;1.705078125E2;1.000000000E1;1.000000000E1
2.208973656E3;5.231853613E1;4.873323161E0;3.995628357E-1;2.000000030E-1;1.212890625E2;1.000000000E1;1.000000000E1
2.209973652E3;5.231852896E1;4.873321904E0;4.211082458E-1;2.000000030E-1;1.965234375E2;1.000000000E1;1.000000000E1
2.210973647E3;5.231852351E1;4.873318132E0;4.298973083E-1;3.000000119E-1;2.657812500E2;1.000000000E1;1.000000000E1
2.211973643E3;5.231852117E1;4.873316037E0;4.243431091E-1;2.599999905E-1;2.988281250E2;1.000000000E1;1.000000000E1
2.212973638E3;5.231851911E1;4.873315198E0;3.261375427E-1;3.000000119E-1;3.350390625E2;1.000000000E1;1.000000000E1
2.213973633E3;5.231851010E1;4.873310085E0;5.221176147E-2;3.000000119E-1;3.230859375E2;1.000000000E1;1.000000000E1
2.214973628E3;5.231850293E1;4.873306146E0;-3.091812134E-2;3.100000024E-1;3.248437500E2;1.000000000E1;1.000000000E1
2.215973623E3;5.231849506E1;4.873299859E0;1.498031616E-2;3.600000143E-1;3.160546875E2;1.000000000E1;1.000000000E1
2.216973617E3;5.231848869E1;4.873294914E0;3.512191772E-2;1.800000072E-1;3.220312500E2;1.000000000E1;1.000000000E1
2.217973612E3;5.231849547E1;4.873311343E0;1.333236694E-2;1.309999943E0;2.777343750E1;1.000000000E1;1.000000000E1
2.218973606E3;5.231849547E1;4.873311343E0;-1.031837463E-1;0.000000000E0;4.394531250E1;1.000000000E1;1.000000000E1
2.219973600E3;5.231848931E1;4.873325257E0;-8.639907837E-2;1.800000072E-1;5.625000000E1;1.000000000E1;1.000000000E1
2.220973594E3;5.231848931E1;4.873325257E0;-6.589126587E-2;0.000000000E0;2.573437500E2;1.000000000E1;1.000000000E1
2.221973587E3;5.231848931E1;4.873325257E0;-1.663551331E-1;0.000000000E0;1.972265625E2;1.000000000E1;1.000000000E1
2.222973580E3;5.231848931E1;4.873325257E0;-2.726783752E-1;0.000000000E0;4.289062500E1;1.000000000E1;1.000000000E1
2.223973574E3;5.231848931E1;4.873325257E0;-5.341529846E-1;0.000000000E0;6.750000000E1;1.000000000E1;1.000000000E1
2.224973567E3;5.231848931E1;4.873325257E0;-7.125587463E-1;0.000000000E0;1.543359375E2;1.000000000E1;1.000000000E1
2.225973561E3;5.231848931E1;4.873325257E0;-8.637428284E-1;0.000000000E0;1.740234375E2;1.000000000E1;1.000000000E1
2.226973553E3;5.231848931E1;4.873325257E0;-9.487648010E-1;0.000000000E0;1.887890625E2;1.000000000E1;1.000000000E1
2.227973547E3;5.231848931E1;4.873325257E0;-9.924659729E-1;0.000000000E0;2.327343750E2;1.000000000E1;1.000000000E1
2.228973540E3;5.231845021E1;4.873314947E0;-9.773292542E-1;1.700000018E-1;3.526171875E2;1.000000000E1;1.000000000E1
2.229973533E3;5.231845294E1;4.873312684E0;-8.982887268E-1;1.700000018E-1;2.812500000E0;1.000000000E1;1.000000000E1
2.230973526E3;5.231845294E1;4.873312684E0;-9.508399963E-1;0.000000000E0;3.526171875E2;1.000000000E1;1.000000000E1
2.231973518E3;5.231844766E1;4.873300698E0;-1.006381989E0;2.300000042E-1;3.505078125E2;1.000000000E1;1.000000000E1
2.232973511E3;5.231845076E1;4.873296004E0;-1.028781891E0;3.300000131E-1;3.512109375E2;1.000000000E1;1.000000000E1
2.233973504E3;5.231845365E1;4.873292567E0;-1.005222321E0;2.399999946E-1;1.511718750E1;1.000000000E1;1.000000000E1
2.234973496E3;5.231845767E1;4.873293489E0;-9.711647034E-1;3.100000024E-1;3.410156250E1;1.000000000E1;1.000000000E1
2.235973489E3;5.231846052E1;4.873296004E0;-1.018772125E0;2.199999988E-1;3.269531250E1;1.000000000E1;1.000000000E1
2.236973481E3;5.231846543E1;4.873298435E0;-1.055942535E0;2.899999917E-1;5.625000000E0;1.000000000E1;1.000000000E1
2.237973473E3;5.231847527E1;4.873309331E0;-1.083530426E0;7.300000191E-1;1.582031250E1;1.000000000E1;1.000000000E1
2.238973466E3;5.231848340E1;4.873318300E0;-8.992042542E-1;2.899999917E-1;3.164062500E1;1.000000000E1;1.000000000E1
2.239973459E3;5.231848948E1;4.873326346E0;-8.631324768E-1;2.099999934E-1;4.921875000E1;1.000000000E1;1.000000000E1
2.240973451E3;5.231849095E1;4.873331040E0;-8.420753479E-1;1.500000060E-1;7.523437500E1;1.000000000E1;1.000000000E1
2.241973443E3;5.231849279E1;4.873335315E0;-8.169898987E-1;1.500000060E-1;9.035156250E1;1.000000000E1;1.000000000E1
2.242973435E3;5.231849279E1;4.873335315E0;-7.686500549E-1;0.000000000E0;1.181250000E2;1.000000000E1;1.000000000E1
2.243973428E3;5.231849845E1;4.873332046E0;-6.079444885E-1;1.500000060E-1;2.267578125E2;1.000000000E1;1.000000000E1
2.244973420E3;5.231849845E1;4.873332046E0;-5.955543518E-1;0.000000000E0;2.404687500E2;1.000000000E1;1.000000000E1
2.245973412E3;5.231849845E1;4.873332046E0;-6.368141174E-1;0.000000000E0;2.562890625E2;1.000000000E1;1.000000000E1
2.246973403E3;5.231851094E1;4.873311426E0;-6.783180237E-1;2.199999988E-1;3.311718750E2;1.000000000E1;1.000000000E1
2.247973395E3;5.231851672E1;4.873308744E0;-7.134132385E-1;2.899999917E-1;2.562890625E2;1.000000000E1;1.000000000E1
2.248973388E3;5.231852200E1;4.873308158E0;-6.294898987E-1;1.500000060E-1;2.098828125E2;1.000000000E1;1.000000000E1
2.249973380E3;5.231852200E1;4.873308158E0;-4.722023010E-1;0.000000000E0;1.778906250E2;1.000000000E1;1.000000000E1
2.250973372E3;5.231852653E1;4.873306146E0;-1.994972229E-1;1.599999964E-1;4.218750000E0;1.000000000E1;1.000000000E1
2.251973364E3;5.231852653E1;4.873306146E0;9.426498413E-2;0.000000000E0;3.571875000E2;1.000000000E1;1.000000000E1
2.252973357E3;5.231852653E1;4.873306146E0;2.433128357E-1;0.000000000E0;3.571875000E2;1.000000000E1;1.000000000E1
2.253973348E3;5.231852653E1;4.873306146E0;1.991844177E-1;0.000000000E0;1.891406250E2;1.000000000E1;1.000000000E1
2.254973341E3;5.231852653E1;4.873306146E0;3.683738708E-1;0.000000000E0;1.891406250E2;1.000000000E1;1.000000000E1
